./text_en/AdviceText.utf.txt,,達成率,5.881%
BD Armor Works,Armor Works,アーマー作品,
BD Armor Works Desc old,"With a small group of skilled artisans directing a less skilled workforce, the armor works can turn out sufficient quantities of leather or light armor to equip all militia troops, and enough light metallic armor for all trained soldiers.",熟練した職人の小さなグループが、あまり熟練した労働力を向けると、鎧の作品は、すべての民兵部隊、およびすべての訓練を受けた兵士のための十分な光金属鎧を装備する革や光の鎧の十分な量を変えることができます。,
BD Armor Factory,Armor Factory,アーマー工場,
BD Armor Factory Desc old,"Armor production on an industrial scale can supply enough quality metal armor for all trained soldiers. It can also produce large quantities of lighter armor, so that even militia troops can have metal armor.",工業的規模でのアーマー生産は、すべての訓練を受けた兵士のための十分な品質の金属の鎧を供給することができます。でも民兵軍は、金属の鎧を持つことができるように、それはまた、軽い鎧を大量に生産することができます。,
BD Bowyer,Bowyer,ボウヤー,
BD Bowyer Desc,A group of skilled craftsmen turn out enough bows and arrows to equip all types of soldiers raised here. Allows the recruitment of bow armed soldiers.,熟練した職人のグループは、ここで提起兵士のすべてのタイプを装備するのに十分な弓と矢を消します。弓武装兵士の動員を可能にします。,
BD Crossbow Maker,Crossbow Maker,クロスボウメーカー,
BD Crossbow Maker Desc,"This building can not only produce regular bows, but also crossbows and repeating crossbows.",この建物は唯一の定期的な弓でなく、クロスボウと繰り返しクロスボウを生成することはできません。,
BD Weapon Smith,Weapon Smith,ウェポンスミス,
BD Weapon Smith Desc,The craftsmen here have the tools and equipment needed to create the large castings needed for metal headed weapons such as dagger axes or halberds.,職人は、ここで、このような戈やhalberdsなどの金属向かった武器のために必要な大型鋳物を作成するために必要な工具および機器を持っています。,
BD Swordsmith,Sword Smith,ソードスミス,
BD Swordsmith Desc,"Swords are difficult to produce, and usually only available to the wealthy, but this building contains enough skilled artisans to create as many swords as are needed for the soldiers raised here",剣は、製造が難しく、そして裕福に通常のみ利用可能ですが、この建物は、ここに上げた兵士のために必要とされる限り多くの剣を作成するために十分な熟練した職人が含まれています,
BD Chariot Maker,Chariot Maker,チャリオットメーカー,
BD Chariot Maker Desc,"Usually only the nobility can afford chariots, but this factory will produce enough vehicles that units of chariot borne soldiers can be recruited.",通常、唯一の貴族は、戦車を買う余裕ができますが、この工場は戦車負担兵士の単位を募集することができ、十分な車を生産します。,
BD Stables,Stables,厩舎,
BD Stables Desc,"Although the nobility can furnish their own horses, a sovereign wishing to field his own force of chariots or cavalry will need a place to house and care for their steeds.",貴族が自分の馬を提出することができますが、戦車や騎兵の彼自身の力をフィールドを希望する主権家と彼らのsteedsの世話をする場所が必要になります。,
BD Barracks,Barracks,兵舎,
BD Barracks Desc,"These facilities allow for the training of regular soldiers. Regular soldiers are much better paid, trained and equipped than conscripts, and are thus both better fighters and more reliable.",これらの施設は、通常の兵士の訓練を可能にします。正規の兵士がはるかに優れて支払われ、訓練を受けたと徴集兵よりも装備されているので、両方の優れた戦闘機、より信頼性の高いです。,
BD Jail,Court,裁判所,
BD Jail Desc,"A court will provide a place for a magistrate to administer justice, and show the population what happens when they violate the law. Swiftly dealing with the lawless will bring tranquility to the city, and deter any who might seek to challenge the lord's authority.",裁判所は正義を管理する奉行のための場所を提供し、彼らは法律に違反したときに何が起こるか人口が表示されます。迅速無法に対処することは都市に静けさをもたらす、と主の権威に挑戦することを求めるかもしれない誰いずれかを抑止します。,
BD Prison,Prison,刑務所,
BD Prison Desc,"Beating and mutilation are useful punishments, but wasteful. A prison allows those convicted of lesser crimes to be sentenced to penal servitude, and used for labor or military service. Keeping such men off the streets, will also reduce crime and increase the security of the city.",鼓動や傷は便利な処罰が、無駄です。刑務所は低い犯罪で有罪判決を受けたものは懲役を宣告され、労働や兵役のために使用することができます。街から外れ、このような男性を維持、また犯罪を減らし、市のセキュリティが向上します。,
BD Theater,Theater,劇場,
BD Theater Desc,A building for public entertainment that increases happiness.,幸福を増加させ、公共の娯楽のための建物。,
BD Taoist Temple,Taoist Temple,道教寺院,
BD Taoist Temple Desc,"That which is called the ineffable Tao is not the ineffable Tao. Those who seek it, gather in this building, but they will not find it here. There is nothing that needs be done here, yet everything necessary will be accomplished.",言いようのないタオと呼ばれているものは言いようのないタオではありません。それを求める人たちは、この建物に集まり、彼らはここでそれを見つけることができません。ここで行われ、まだ必要なすべてが達成されるが必要なものは何もありません。,
BD Taoist Temple II,Major Taoist Temple,主な道教寺院,
BD Taoist Temple II Desc,"Here is a place for people to cultivate the Tao, to return to nature and exist in harmony with Heaven and Earth. Here one may learn the wisdom of beings from higher dimenisons, explore the mysteries of the universe, and arrive at the truth.",、タオを育成するために、人々は自然に戻り、天と地と調和して存在するため、ここでの場所です。ここで1は、高いdimenisonsから人間の知恵を学び、宇宙の謎を探る、そして真実に到着する可能性があります。,
BD Taoist Temple III,Famous Taoist Temple,有名な道教寺院,
BD Taoist Temple III Desc,"This palace is a major gathering point for those who follow the way of the Tao. It is center for spreading the Taoist world view and lifestyle. Many come to study scripture, ceremony, medicine, healing, and even the martial arts.",この宮殿は、タオの道をたどる人のための主要な集まり点です。それは道教の世界観やライフスタイルを広めるための中心地です。多くの経典、式典、医療、癒し、さらには武道を学びに来ます。,
BD Confucian Temple,Confucian Temple,儒教の寺,
BD Confucian Temple Desc,"Adherents of the famous wise man Kong Fuzi (or Confucius in English) gather here to worship their ancestors, and to perform rites. It serves as a focus for the community, and a place for adherents to discuss the meaning of the master's teaching.",有名な賢人（英語または孔子）香港Fuziの信奉は、彼らの祖先を崇拝し、そして儀式を行うためにここに集まります。これは、コミュニティのためのフォーカス、および支持者がマスターの教えの意味を議論するための場所として機能します。,
BD Confucian Temple II,Major Confucian Temple,主な儒教の寺,
BD Confucian Temple II Desc,"This place provides a major meeting point for devout follows of Confucius, and a place where people can gather for important rituals. Many rites are performed here, with drums, musical instruments and dancing.",この場所は、孔子の次の、そして人々は、重要な儀式のために集まることができる場所敬虔のための主要なミーティングポイントを提供します。多くの儀式は、ドラム、楽器や踊りで、ここで実行されています。,
BD Confucian Temple III,Famous Confucian Temple,有名な儒教の寺,
BD Confucian Temple III Desc,"This temple is a major center for the veneration of Confucius, containing statues of the great master, and his most famous followers. People come from all around to make offerings, and to observe the ritual performances of music and dance that take place on major festival days.",この寺院は、巨匠の彫像、そして彼の最も有名な信者を含む、孔子の崇拝の中心地です。人々は製品を作るために、主要な祭りの日に行われた音楽とダンスの儀式のパフォーマンスを観察するためにすべての周りから来ます。,
BD Wooden Palisade,Wooden Palisade,木製の柵,
BD Wooden Palisade Desc,"A stout wooden wall will keep out bandits and raiders, and makes the inhabitants feel secure. This boosts happiness and encourages the growth of the settlement.",スタウト木製の壁には、山賊や侵略者を維持し、住民が安全な感じになります。これは、幸福を向上させ、決済の成長を奨励しています。,
BD Rammed Earth Wall,Rammed Earth Wall,版築壁,
BD Rammed Earth Wall Desc,"Made by continually pounding earth within a frame, rammed earth is as hard as concrete. Such a wall is a formidable obstacle to any attacking army.",継続的にフレーム内の地球を叩い製、地球は、コンクリートと同じくらい難しいです突っ込みました。このような壁はどんな攻撃軍に手ごわい障害となっています。,
BD High Earth Wall,High Earth Wall,ハイ地球ウォール,
BD High Earth Wall Desc,"The thicker and higher the wall, the harder it is to breach. Only the most determined and well organized enemy will be able to capture a settlement protected by such a defense.",厚く高い壁が、難しくは破るためにあります。唯一の最も決定し、よく組織の敵は、このような守備で保護された和解をキャプチャすることができるようになります。,
BD Shooting Galleries,Shooting Galleries,シューティングギャラリー,
BD Shooting Galleries Desc,"Wooden structures atop the walls, provide a vantage point for defenders to fire at attacking forces, increasing the strength of the defenses. A small group of men will always man these, but if missile units are garrisoned in the city, they can also fire from the galleries, increasing the firepower that can be brought to bear on attackers.",木製の構造は、壁の上に、守備陣は防御の強度を高める、攻撃力で発射するための視点を提供しています。男性の小さなグループは、常にこれらを人間ますが、ミサイルユニットが都市に駐屯している場合、彼らはまた、攻撃者に負担をもたらすことができる火力を高め、ギャラリーから発射することができます。,
BD Town,Town,タウン,
BD Town Desc,"A town in the smallest level of settlement. It can only contain a few buildings, and a limited population.",決済の最小レベルにある町。それはほんの数建物、および限られた人口を含めることができます。,
BD City,City,シティ,
BD City Desc,"A city is the middle level of settlement.  It can contain many buildings, and a substantial population. It can also control more territory than a town.",市は和解の中間レベルです。それは多くの建物、そしてかなりの人口を含めることができます。また、町よりも多くの領土を制御することができます。,
BD Huge City,Huge City,巨大都市,
BD Huge City Desc,"This is the largest type of settlement. It can contain the most buildings, the most population, and control territory the furthest from its center.",これは、決済の最大の種類です。それは、最も人口のほとんどの建物が含まれており、その中心から領土に遠くを制御することができます。,
BD City Upgrade,Settlement Upgrade,決済アップグレード,
BD City Upgrade Desc,"Upgrading the settlement to a city increases the number of buildings that may be constructed within, and increase the population that can reside in it. Upgrading will reduce unrest caused by overcrowding, and extend the amount of territory the city can control.",街への決済をアップグレードすると、内部に構築することができる建物の数が増加し、それに常駐することができます人口を増やします。アップグレードは過密によって引き起こされる不安を軽減し、市が制御できる領土の量を拡張します。,
BD Huge City Upgrade,Settlement Upgrade,決済アップグレード,
BD Huge City Upgrade Desc,"Upgrading the settlement to a huge city, provides even more space for buildings, and allows the largest palaces and temples to be constructed. Many advanced buildings may only be constructed within a huge city. It further increase the population that may be contained, and the territory that can be controlled.",巨大な都市に和解のアップグレード、建物のためにも、より多くのスペースを提供し、最大の宮殿や寺院を構築することを可能にします。多くの先進的な建物が唯一の巨大都市の中に構築することができます。さらに含有させることができる人口を増加させ、かつ制御することができるの領土。,
BD Bazaar,Bazaar,バザール,
BD Bazaar Desc,"Allows trade goods to be sold to nearby settlements. The income derived from the trade depends on the number of trade items produced which the other settlement does not have, and the population of that settlement. Every settlement has some local specialties that may be traded for some modest profit. Trade may be conducted with other settlements controlled by other factions provided they are not at war.",交易品は、近くの集落に売却することができます。貿易から得られる収入は、他の決済はありません生産の貿易品目の数、およびその決済の人口に依存します。すべての決済は、いくつかのささやかな利益のために取引することができるいくつかの地元料理を持っています。展覧会は、他の派閥によって制御される他の入植地で行うことができる、彼らは戦争ではありません提供。,
BD Market,Market,市場,
BD Market Desc,A larger market attracts buyers from further afield. Increases the distance that trade may be conducted and increases the value of trade.,より大きな市場が遠くからバイヤーを魅了しています。取引距離を行ってもよい増加と貿易の値を増加させます。,
BD Trade Center,Famous Market,有名市場,
BD Trade Center Desc,"Once a market reaches a certain size, it becomes famous for the variety and value of the goods offered their, making it worth while for buyers to travel long distances to attend. Further increases the distance over which trade may be conducted, and increases the income from trade.",市場が一定のサイズに達すると、それは財の多様性と価値のために有名になったのバイヤーが出席するために長い距離を移動するための一方で、それは価値が作る、自分を提供しました。さらに取引が行われてもよいれる距離を増加させ、貿易からの収入を増加させます。,
BD Caravansary,Caravansary,Caravansary,
BD Caravansary Desc,"Long distance trade is conducted by well organized caravans, which need places along the way where they can rest and replenish. After a brief respite, they can be on their way to yet more distant destinations.",長距離交易は、それらが休むと補充することができます道に沿って場所を必要とするよく組織キャラバン、によって行われます。簡単な休息の後、彼らはまだ、より遠くの目的地への道上に置くことができます。,
BD Artillery Camp,Artillery Camp,砲兵キャンプ,
BD Artillery Camp Desc,"This a place where engineers can be taught the skills needed to construct basic artillery engines, and laborers can be trained to operate them. Artisans construct the most intricate parts, which cannot readily be fabricated on campaign. Siege engines are needed to capture well fortified cities.",このエンジニアは、基本的な大砲エンジンを構築するために必要なスキルを教えることができる、そして労働者がそれらを動作させるために訓練することができる場所。業者は容易にキャンペーンに製造することができない最も複雑な部品を構築します。攻城兵器はよく要塞都市を捕獲するために必要とされます。,
BD Artillery Workshop,Artillery Workshop,砲兵ワークショップ,
BD Artillery Workshop Desc,"This workshop is home to the finest military engineers, who research and teach the construction of large and advanced siege engines. These engines are necessary to successfully attack heavily fortified cities.",このワークショップでは、研究と大規模で高度な攻城兵器の建設を教える最高の軍事エンジニア、に家です。これらのエンジンが正常に重く要塞都市を攻撃するために必要です。,
BD Cannon Maker,Cannon Maker,キャノンメーカー,
BD Cannon Maker Desc,"Making a cannon is a complicated process, that requires great care and skill heating the metal, and pouring it into the cast. A team of skilled artisans oversee this process, ensuring that cannons do not burst when fired. A well build cannon, can reduce any masony to rubble with a few shots, enabling the sturdiest wall to be breached.",大砲を作ることは細心の注意とスキル金属を加熱し、そしてキャストに注ぐことが必要となる複雑なプロセスです。熟練した職人のチームは、焼成したときの大砲が破裂していないことを保証し、このプロセスを監督します。よく、大砲を構築破られるために丈夫壁を有効にする、いくつかのショットで瓦礫に任意のmasonyを減らすことができます。,
BD Pottery Workshop,Pottery Workshop,陶器のワークショップ,
BD Pottery Workshop Desc,"This dedicated workshop, manned by skilled artisans, creates a steady supply of pottery and ceramic wares, to supply both the local population, and for export further afield via the bazaar. A ready supply of jars and pots is most useful for storing food and liquids, reducing both waste, and time spend replenishing supplies.",この専用ローカル集団の両方を供給するために、陶器や陶磁器の安定供給を作成し、エクスポートのために当業者によって有人ワークショップ、さらに遠くバザー介し。瓶やポットの準備供給は、両方の廃棄物の削減、食品や液体を保存するための最も有用であり、時間は、物資の補給過ごします。,
BD Ceramics Factory,Ceramics Factory,陶磁器工場,
BD Ceramics Factory Desc,"A population growing in both size and sophistication, requires a great and varied supply of ceramic ware. A few skilled artisans cannot keep up with demand, so a more structured approach is required to production. In this facility, the masters manage legions of less skilled workers to produce basic items, while others specialize in narrow areas of production or decoration.",大きさと洗練さの両方で成長している人口は、陶磁器の偉大な多様供給を必要とします。少数の熟練した職人が需要に追いつくことができないので、より構造的なアプローチは、生産に必要とされます。他の人が生産や装飾の狭い分野に特化しながら、この施設では、マスターは、基本的な項目を生成するために以下の熟練労働者の軍団を管理します。,
BD Silk Weaver,Silk Weaver,シルクウィーバー,
BD Silk Weaver Desc,"Silk is a miraculous fabric, created by skilled weavers from the cocoon of the silk worn moth. The moths larvae must be kept warm, and fed a nutrisous diet of mulberries leaves, until ready to form a cocoon. These are gathered, and softened, so that individual strands of silk may be pulled from them, twisted into yarn, then woven into fabric. Needless to say, this is a labor intensive task.",シルクはシルク着用蛾の繭から熟練した職人によって作成された、奇跡的なファブリックです。蛾の幼虫は保温し、繭を形成するために準備ができるまで、桑の葉のnutrisous飼料を与えなければなりません。絹の個々の鎖は、布に織られ、その後、糸に撚ら、それらから引き出されてもよいように、これらは、収集され、そして軟化されます。言うまでもなく、これは労働集約的な作業です。,
BD Granary,Granary,穀倉,
BD Granary Desc,"This is a cool dry place to store wheat, rice and other grains that are produced in excess when the harvest is bountiful. The stored grain can be distributed to the hungry people when the harvest fails, or when bandits or hostile armies ravage the lands.",これは、小麦、米、収穫が豊かなときに過剰に産生されている他の穀物を保存するための涼しい乾燥した場所です。収穫が失敗したときに保存された穀物は、飢えた人に配布することができ、または山賊や敵対的軍隊が土地を破壊するとき。,
BD Siege Granary,Siege Granary,攻城穀倉,
BD Siege Granary Desc,"This is a place to stockpile large supples of food, so that the army and people can be fed even when the city is besieged by a an enemy army. While it is best not to let this happen, war is unpredictable, and a wise lord makes provision to protect the city from starvation until an army can be sent to relieve it.",都市は敵軍に包囲された場合でも、軍と民を供給することができるように、これは、食品の大supplesを備蓄する場所です。それはこれを実現させるために最善ではないものの、戦争は予測不可能であり、かつ賢明な君主は軍がそれを緩和するために送信できるようになるまでの規定が飢餓から街を守るためになります。,
BD Horse Stud,Horse Stud,馬スタッド,
BD Horse Stud Desc,"While horses were vital for warfare, they do not naturally thrive in most of China, and maintaining a sufficient supply was always a challenge for kings and emperors. Some horses could be acquired through trade, and these were sufficient to equip a limited number of noble and elite units but providing enough for large forces, required that special horse herds be maintained. 
This building provide horses for export. Having horses available will increase the availability of Trained Army Horsemen chariot and cavalry units.","馬は戦争のために不可欠であったが、彼らは当然、中国のほとんどで繁栄し、十分な供給を維持することは、常に王と皇帝のための挑戦だったしません。いくつかの馬は貿易を通じて取得することができ、これらは特別な馬の群れを維持することが必要で、貴族やエリートユニットの限られた数を装備するのに十分なものの、大きな力を十分に提供しました。
この建物は輸出用の馬を提供しています。利用できる馬を持つことは、訓練を受けた軍騎手の戦車と騎兵ユニットの可用性が向上します。",
BD Copper Scrape,Copper Pit,銅ピット,
BD Copper Scrape Desc,"Copper was a vital material for early civilizations. It can be used for a variety of tools, utensils and decorative items, and is the fundamental component of the bronze required for weapons and armor. The earliest copper deposits utilized were either naturally occurring raw copper, or the striking green mineral malachite. Boulders on the surface could be gathered, and more could be found by digging open trenches or making shallow excavations. ",銅は早い文明のために不可欠な物質でした。これは、ツール、調理器具や装飾品の様々なために使用され、武器や防具に必要な青銅の基本的な構成要素であることができます。利用される最も早い銅堆積物は、いずれかの天然生銅、又は打撃緑色鉱物マラカイトを発生しました。表面上の巨石が集まっすることができ、より多くを開いた溝を掘ったり、浅い発掘調査を行うことによって見つけることができます。,
BD Copper Mine,Copper Mine,銅鉱山,
BD Copper Mine Desc,Extracting more metal from a deposit requires digging deep shafts into the ground. Shafts could be cut by hand or with machines that involved men jumping up and down on a drill head that was rotated by a team of oxen.,堆積物からより多くの金属を抽出すると、地面に深くシャフトを掘る必要があります。シャフトは、手や男性が牛のチームによって回転させたドリルヘッドに上下にジャンプ関与機で切断することができます。,
BD Large Copper Mine,Deep Copper Mine,ディープ銅山,
BD Large Copper Mine Desc,"Extracting the most from a deposit will require delving deep into the ground with an extensive system of shafts and galleries. Sophisticated systems are needed to control ground water, provide ventilation, and to bring the ore to the surface.",預金から最もを抽出するシャフトやギャラリーの広範なシステムで地面に深く踏み込ん必要とするであろう。洗練されたシステムは、地下水を制御換気を提供し、表面に鉱石を持参するために必要とされています。,
BD Gold Scrape,Gold Pit,ゴールドピット,
BD Gold Scrape Desc,"A gold scrape can extract the gold near the surface, by digging shallow trenches or vertical shafts. Gold is a natural medium of exchange, so all the output of this mine goes straight on the balance sheet.",金削れは、浅いトレンチまたは立坑を掘削することにより、表面近くの金を抽出することができます。金は為替の自然な媒体であるので、この鉱山のすべての出力は、ストレート貸借対照表になります。,
BD Gold Mine,Gold Mine,金鉱,
BD Gold Mine Desc,"Extracting more gold will require digging deeper into the ground. The gold bearing seams are often thin and twisted, and underground galleries will need to be dug to follow them.",より多くの金を抽出すると、地面を深く掘る必要があります。金軸受の縫い目は、多くの場合、薄いとツイストされ、地下のギャラリーには、それらに従うことを掘っする必要があります。,
BD Large Gold Mine,Deep Gold Mine,ディープゴールドマイン,
BD Large Gold Mine Desc,"As a mine gets larger and deeper, significant attention must be paid to drainage and ventilation. A more sophisticated operation can also recover the valuable metal by heating gold bearing ores, rather than just mining the raw gold.",鉱山が大きく、深くなるにつれ、大きな注目は、排水、換気に注意を払わなければなりません。より洗練された操作も金ベアリング鉱石を加熱するだけではなく、生の金を採掘することにより、貴重な金属を回収することができます。,
BD Jade Scrape,Jade Scrape,ジェイドスクレイプ,
BD Jade Scrape Desc,"Small pebbles and lumps of jade can be found in mountain streams or in ancient glacial deposits high in the mountains. Gathering them from such remote locations can be arduous, but the stone commands a good price locally, and can be traded further afield too.",小石や翡翠の塊は、渓流や山で高い古代の氷河堆積物で見つけることができます。そのような遠隔地から彼らを集めること困難であってもよいが、石は、ローカルに良い価格をコマンド、あまりにも遠くに取引することができますすることができます。,
BD Jade Mine,Jade Quarry,ジェイド採石,
BD Jade Mine Desc,"Since it's harder than most rocks, jade is often found in large boulders on or near the surface. Among the many virtues of the stone, its hardness is said to represent intelligence. Breaking these hard rocks requires the right tools, techniques and hard work.",それはほとんどの岩石より硬いですので、ヒスイは、多くの場合、表面上またはその近くに大きな岩で発見されました。石の多くの美徳の中で、その硬さは知性を表現すると言われています。これらのハード岩を壊すことは、適切なツール、技術と努力が必要です。,
BD Large Jade Mine,Deep Jade Mine,ディープジェードマイン,
BD Large Jade Mine Desc,"Where there is jade on the surface, there is more to be found underground. Digging out such hard rock is very challenging, and requires exploiting natural flaws in the stone.",表面上のヒスイがある場合、地下発見されるよりはあります。そのようなハードロックを掘り起こすことは非常に困難である、と石の自然欠陥を悪用必要です。,
BD Port I,Quay,岸壁,
BD Port I Desc,"Enables water borne trade. Trade items produced by this settlement may be exported along navigable rivers, or across the sea to nearby settlements. Moving goods by water is easier than by land, so the profit is greater.",水系貿易を可能にします。この和解によって生成貿易品目は、近くの集落に航行川に沿って、または海を渡っエクスポートすることができます。水で商品を移動すると、陸路よりも簡単なので、利益が大きいです。,
BD Port II,Wharf,埠頭,
BD Port II Desc,"Extends the distance over which water borne trade may occur, and increases the value derived from that trade.",水系取引が発生する可能性があり、その上の距離を延び、その商品から得られた値を増加させます。,
BD Port III,Port,港,
BD Port III Desc,"Further extends the distance over which water borne trade may occur, and increases the value derived from that trade.",さらに水系取引が発生する可能性があり、その上の距離を延長し、その商品に由来する値を増加させます。,
BD Shipyard I,Boatyard,ボートヤード,
BD Shipyard I Desc,"This is a place for constructing smaller and simpler types of warship. Great care is needed to create even the simplest ship. Timber must be cut precisely to make tight joins, and the joins carefully waterproofed, before the completed vessel can be launched into the water.",これは、軍艦の小さく、シンプルなタイプを構築するための場所です。細心の注意をしても、最も単純な船を作成するために必要とされています。木材はタイト加入するために、正確に切断しなければならない、と完成容器を水の中に起動することができます前に、慎重に、防水合流します。,
BD Shipyard II,Shipyard,造船所,
BD Shipyard II Desc,"The shipyard is for creating larger and more sophisticated ships. It has curing sheds for wood, cranes for moving large timbers, and slipways for launching new vessels. Blacksmiths create fittings, and skilled engineers oversee the whole construction.",造船所は、より大きく、より洗練された船を作成するためです。これは、新しい血管を起動するための木材のための小屋、大きな木材を移動するためのクレーン、及び造船台を硬化させました。鍛冶屋は、継手を作成し、熟練した技術者は、全体の建設を監督します。,
BD Shipyard III,Large Shipyard,大型造船所,
BD Shipyard III Desc,"This place is capable of constructing the largest types of ships, those that will sail the longest ocean voyages, or serve at the core of great war fleets. The most renowned naval architects consider every aspect of the design, to produce vessels that are equipped with the most sophisticated weapons, or that can survive the fiercest storm.",この場所は、船の最大のタイプ、最長の海の航海を航行、または偉大な戦争の艦隊の中核に役立つものを構築することが可能です。最も有名な海軍の建築家は、最も洗練された武器が装備されている血管を生成するために、設計のあらゆる側面を考慮し、またはそれは激しい嵐を乗り切ることができます。,
BD Shrine I,Shrine,神社,
BD Shrine I Desc,"A place to honor a spirit or god can give a person the feeling that they can influence the world around them by asking for favors, or relief from afflictions. A tranquil location can also soothe the troubled mind.",場所は、精神を尊重するか、神が人に、彼らは苦痛からの恩恵、または救済を求めることによって、それらの周りの世界に影響を与えることができる感覚を与えることができます。静かな場所にも問題を抱えた心を落ち着かせることができます。,
BD Shrine II,Famous Shrine,有名な神社,
BD Shrine II Desc,"Some shrines become so famous that no-one would doubt the efficacy of praying there. Not only does it comfort the local inhabitants, but people from nearby cities are drawn to visit it too.",いくつかの神社には、誰がそこに祈っの有効性を疑うないだろうほど有名になります。だけでなく、それは地元住民を慰めんが、近所の都市から人々があまりにもそれを訪問するように描かれています。,
BD Shrine III,Legendary Shrine,伝説の神社,
BD Shrine III Desc,"Some shrines become so well known, that their fame spreads throughout the whole world, and people will travel vast distances to visit them. A thriving industry can arise to cater to the needs of these visitors.",いくつかの神社は、彼らの名声は全世界的に広がっていることを、非常によく知られるようになり、人々はそれらを訪問する広大な距離を移動します。盛んな産業は、これらの訪問者のニーズに応えるために発生することができます。,
BD Pavilion I,Pavilion,パビリオン,
BD Pavilion I Desc,A pleasant place in the hills to visit will calm the minds of the lords and ladies who visit. Why worry about politics when the living is good.,訪問するの丘での快適な場所を訪問領主と女性の心を落ち着かます。生活が良好な場合、なぜ政治心配。,
BD Pavilion II,Summer Palace,夏の宮殿,
BD Pavilion II Desc,"A retreat in the hills can bring peace of mind to any lord. Here he and his companions can hunt, train, and practice with their weapons, unburdened by the cares of the city.",丘での後退は任意の領主に心の平和をもたらすことができます。ここで彼と彼の仲間は、電車を狩り、そして街の心配で打ち明けた武器、と練習することができます。,
BD Monastery,Monastery,修道院,
BD Monastery Desc,"A place for monks to retreat from the world to study and meditate, a monastery is also a center for art and learning. Although supporting a non-productive community of monks is expensive, it provides a great source of guidance and education to the wider community.",僧侶は勉強と瞑想を世界から撤退するための場所、修道院も、芸術や学習のための中心地です。僧侶の非生産的なコミュニティを支援することは、高価ではあるが、それはより広いコミュニティへの指導・教育の偉大なソースを提供します。,
Winter,Winter,冬,
Spring,Spring,春,
Summer,Summer,夏,
Autumn,Fall,秋,
OffMap,Off Map,地図オフ,
Dry Plain,Dry Plain,ドライプレーン,
Grassland,Grassland,草原,
Fertile Plain,Fertile Plain,肥沃な平野,
Gentle Hills,Gentle Hills,なだらかな丘陵,
Steep Hills,Steep Hills,急な坂,
Mountains,Mountains,山岳,
Forest,Forest,森林,
Marsh,Marsh,沼沢,
Sand,Sand,砂,
Plateau,Plateau,高原,
Terraced Steep Hills,Terraced Farms,棚田農場,
Terraced Gentle Hills,Terraced Farms,棚田農場,
Farmland,Farmland,畑地,
Irrigated Farmland,Irrigated Farmland,灌漑農地,
Coastal,Coastal Waters,近海,
Sea,Open Sea,公海,
Ocean,Ocean,海洋,
Unnavigable River,Unnavigable River,Unnavigable川,
Navigable River,Navigable River,航行川,
Unnavigalbe Lake,Lake,湖,
Unexplored,Unexplored,未踏,
Destroyed Farmland,Pillaged Farmland,略奪農地,
Destroyed Terraced Steep Hills,Pillaged Terraces,略奪テラス,
Destroyed Terraced Gentle Hills,Pillaged Terraces,略奪テラス,
Flooded Land,Flooded Land,浸水の土地,
Central Asia,Mongolia,モンゴル,
Central Asia DLC,Central Asia,中央アジア,
Gobi Desert,Gobi Desert,ゴビ砂漠,
Northern China,Northern China,中国北部,
Western China,Western China,中国西部,
Southern China,Southern China,中国南部,
NorthGate,North Gate,北門,
SouthGate,South Gate,南口,
EastGate,East Gate,東門,
WestGate,West Gate,西ゲート,
Garrison,Garrison,駐屯地,
RP Militia old,Militia,民兵,
RP Tribesmen,Tribesmen,部族,
RP Nobles,Nobles,貴族,
RP Conscripts,Conscripts,徴集兵,
RP Palace Troops,Palace Troops,宮殿の部隊,
RP Convicts,Convicts,受刑,
RP Civilians,Civilians,民間人,
RP Artillery,Artillery,砲兵,
RP Regulars,Trained Army,訓練を受けた軍,
RP Army Horsemen,Trained Horsemen,訓練を受けた騎手,
RP Mercenary,Mercenaries,マーセナリーズ,
RP Naval,Naval Units,海軍ユニット,
RP TestAndDebug,Test,テスト,
RP Peasant Unrest High,No recruitment is possible due to high peasant unrest,何の募集は、高い農民の不安に可能ではありません,
RP Noble Unrest High,No recruitment is possible due to high noble unrest,何の募集は、高い高貴な不安のために可能ではありません,
BP Military Buildings,Military Buildings,軍事建物,
BP Civic Buildings,Civic Buildings,シビック建物,
BP External Buildings,Outside Buildings,外の建物,
BP Temples and Schools,Temples and Schools,寺院や学校,
TI Farm,Farm,ファーム,
TI Clearing,Clearance,クリアランス,
TI Road,Road,道路,
TI Building,Building,建物,
TI Construct,Build,築きます,
TI Cancel,Cancel,キャンセル,
TI Clear Forests,Clear Forests,クリア森林,
TI Drain Marshes,Drain Marshes,ドレン沼地,
TI Irrigated Farmland,Create Irrigated Farms,灌漑農場を作成します。,
TI Farmland,Create Farms,ファームを作成します,
TI Terrace Gentle Hills,Terrace Gentle Hills,テラスなだらかな丘陵,
TI Terrace Steep Hills,Terrace Steep Hills,テラス急な坂,
UI Confirm Cancel Construction No Refund,Do you want to cancel construction? The cost already spent will NOT be refunded.,あなたは建設を中止しますか？すでに費やした費用は返金されません。,
UI Farm Limit Reached,You cannot construct more farms than you have population.,あなたは人口を持っているよりも、あなたは多くの農場を構築することはできません。,
UI No Agriculture,You need to develop agriculture before you can construct farms.,あなたはファームを構築することができます前に、農業を開発する必要があります。,
UI No Improvements Turmoil,You may not construct any improvements as the settlement is still in turmoil.,決済が混乱にまだあるようあなたは、任意の改善を構築しない場合があります。,
